Study.Accession	Reported.trait	Group	UKB.Field.ID	QC.Flag.Field.ID	type	analysis	adjustment	sex	population
GCST90497045	Acetate	Ketone bodies	23475	23775	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497050	Acetate	Ketone bodies	23475	23775	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497064	Acetoacetate	Ketone bodies	23476	23776	array	Discovery		Combined	British-African
GCST90497065	Acetoacetate	Ketone bodies	23476	23776	array	Discovery		Combined	European
GCST90497068	Acetoacetate	Ketone bodies	23476	23776	array	Discovery		Combined	British-Central/South Asian
GCST90497063	Acetoacetate	Ketone bodies	23476	23776	array	Discovery		Female	European
GCST90497062	Acetoacetate	Ketone bodies	23476	23776	array	Discovery		Male	European
GCST90497061	Acetoacetate	Ketone bodies	23476	23776	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497066	Acetoacetate	Ketone bodies	23476	23776	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497067	Acetoacetate	Ketone bodies	23476	23776	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497069	Acetoacetate	Ketone bodies	23476	23776	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501094	Acetoacetate	Ketone bodies	23476	23776	array	Meta-analysis		Combined	Combined
GCST90497057	Acetoacetate	Ketone bodies	23476	23776	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497058	Acetoacetate	Ketone bodies	23476	23776	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497059	Acetoacetate	Ketone bodies	23476	23776	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497060	Acetoacetate	Ketone bodies	23476	23776	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497077	Acetone	Ketone bodies	23477	23777	array	Discovery		Combined	British-African
GCST90497074	Acetone	Ketone bodies	23477	23777	array	Discovery		Combined	European
GCST90497073	Acetone	Ketone bodies	23477	23777	array	Discovery		Combined	British-Central/South Asian
GCST90497078	Acetone	Ketone bodies	23477	23777	array	Discovery		Female	European
GCST90497071	Acetone	Ketone bodies	23477	23777	array	Discovery		Male	European
GCST90497072	Acetone	Ketone bodies	23477	23777	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497079	Acetone	Ketone bodies	23477	23777	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497080	Acetone	Ketone bodies	23477	23777	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497082	Acetone	Ketone bodies	23477	23777	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501095	Acetone	Ketone bodies	23477	23777	array	Meta-analysis		Combined	Combined
GCST90497070	Acetone	Ketone bodies	23477	23777	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497075	Acetone	Ketone bodies	23477	23777	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497076	Acetone	Ketone bodies	23477	23777	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497081	Acetone	Ketone bodies	23477	23777	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497084	Alanine	Amino acids	23460	23760	array	Discovery		Combined	British-Central/South Asian
GCST90497094	Alanine	Amino acids	23460	23760	array	Discovery		Combined	British-African
GCST90497095	Alanine	Amino acids	23460	23760	array	Discovery		Combined	European
GCST90497085	Alanine	Amino acids	23460	23760	array	Discovery		Female	European
GCST90497086	Alanine	Amino acids	23460	23760	array	Discovery		Male	European
GCST90497087	Alanine	Amino acids	23460	23760	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497092	Alanine	Amino acids	23460	23760	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497093	Alanine	Amino acids	23460	23760	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497088	Alanine	Amino acids	23460	23760	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501096	Alanine	Amino acids	23460	23760	array	Meta-analysis		Combined	Combined
GCST90497083	Alanine	Amino acids	23460	23760	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497089	Alanine	Amino acids	23460	23760	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497090	Alanine	Amino acids	23460	23760	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497091	Alanine	Amino acids	23460	23760	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497096	Albumin	Fluid balance	23479	23779	array	Discovery		Combined	British-Central/South Asian
GCST90497109	Albumin	Fluid balance	23479	23779	array	Discovery		Combined	European
GCST90497110	Albumin	Fluid balance	23479	23779	array	Discovery		Combined	British-African
GCST90497108	Albumin	Fluid balance	23479	23779	array	Discovery		Female	European
GCST90497101	Albumin	Fluid balance	23479	23779	array	Discovery		Male	European
GCST90497097	Albumin	Fluid balance	23479	23779	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497099	Albumin	Fluid balance	23479	23779	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497100	Albumin	Fluid balance	23479	23779	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497107	Albumin	Fluid balance	23479	23779	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497105	Albumin	Fluid balance	23479	23779	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501097	Albumin	Fluid balance	23479	23779	array	Meta-analysis		Combined	Combined
GCST90497098	Albumin	Fluid balance	23479	23779	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497102	Albumin	Fluid balance	23479	23779	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497106	Albumin	Fluid balance	23479	23779	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497103	Albumin	Fluid balance	23479	23779	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497104	Albumin	Fluid balance	23479	23779	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497120	Apolipoprotein A1	Apolipoproteins	23440	23740	array	Discovery		Combined	European
GCST90497126	Apolipoprotein A1	Apolipoproteins	23440	23740	array	Discovery		Combined	British-African
GCST90497115	Apolipoprotein A1	Apolipoproteins	23440	23740	array	Discovery		Combined	British-Central/South Asian
GCST90497122	Apolipoprotein A1	Apolipoproteins	23440	23740	array	Discovery		Female	European
GCST90497119	Apolipoprotein A1	Apolipoproteins	23440	23740	array	Discovery		Male	European
GCST90497113	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497111	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497117	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497124	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497125	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497127	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501098	Apolipoprotein A1	Apolipoproteins	23440	23740	array	Meta-analysis		Combined	Combined
GCST90497112	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497114	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497118	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497121	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497123	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497116	Apolipoprotein A1	Apolipoproteins	23440	23740	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497138	Apolipoprotein B	Apolipoproteins	23439	23739	array	Discovery		Combined	British-African
GCST90497142	Apolipoprotein B	Apolipoproteins	23439	23739	array	Discovery		Combined	European
GCST90497131	Apolipoprotein B	Apolipoproteins	23439	23739	array	Discovery		Combined	British-Central/South Asian
GCST90497137	Apolipoprotein B	Apolipoproteins	23439	23739	array	Discovery		Female	European
GCST90497130	Apolipoprotein B	Apolipoproteins	23439	23739	array	Discovery		Male	European
GCST90497132	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497128	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497136	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497140	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497141	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501099	Apolipoprotein B	Apolipoproteins	23439	23739	array	Meta-analysis		Combined	Combined
GCST90497129	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497133	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497134	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497135	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497139	Apolipoprotein B	Apolipoproteins	23439	23739	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497154	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	array	Discovery		Combined	European
GCST90497144	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	array	Discovery		Combined	British-Central/South Asian
GCST90497159	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	array	Discovery		Combined	British-African
GCST90497156	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	array	Discovery		Female	European
GCST90497158	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	array	Discovery		Male	European
GCST90497151	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497143	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497148	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497150	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497152	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497157	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501100	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	array	Meta-analysis		Combined	Combined
GCST90497153	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497145	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497147	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497149	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497146	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497155	Apolipoprotein B to Apolipoprotein A1 ratio	Apolipoproteins	23441	23741	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497439	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	array	Discovery		Combined	British-African
GCST90497440	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	array	Discovery		Combined	European
GCST90497447	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	array	Discovery		Combined	British-Central/South Asian
GCST90497454	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	array	Discovery		Female	European
GCST90497446	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	array	Discovery		Male	European
GCST90497444	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497445	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497455	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497448	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497451	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497452	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501118	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	array	Meta-analysis		Combined	Combined
GCST90497449	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497443	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497450	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497441	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497442	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497453	Average Diameter for HDL Particles	Lipoprotein particle sizes	23433	23733	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498444	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	array	Discovery		Combined	British-African
GCST90498446	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	array	Discovery		Combined	British-Central/South Asian
GCST90498449	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	array	Discovery		Combined	European
GCST90498458	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	array	Discovery		Female	European
GCST90498457	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	array	Discovery		Male	European
GCST90498447	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498459	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498460	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498448	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90498450	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498451	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501179	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	array	Meta-analysis		Combined	Combined
GCST90498454	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498456	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498453	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498445	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498455	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498452	Average Diameter for LDL Particles	Lipoprotein particle sizes	23432	23732	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500275	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	array	Discovery		Combined	European
GCST90500278	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	array	Discovery		Combined	British-Central/South Asian
GCST90500284	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	array	Discovery		Combined	British-African
GCST90500279	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	array	Discovery		Female	European
GCST90500290	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	array	Discovery		Male	European
GCST90500276	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90500285	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500289	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500282	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90500277	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500280	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501292	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	array	Meta-analysis		Combined	Combined
GCST90500283	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90500286	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90500287	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500281	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500291	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500288	Average Diameter for VLDL Particles	Lipoprotein particle sizes	23431	23731	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500904	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	array	Discovery		Combined	British-African
GCST90500907	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	array	Discovery		Combined	British-Central/South Asian
GCST90500908	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	array	Discovery		Combined	European
GCST90500918	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	array	Discovery		Female	European
GCST90500905	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	array	Discovery		Male	European
GCST90500912	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500914	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90500903	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500911	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90500910	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90500916	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501330	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	array	Meta-analysis		Combined	Combined
GCST90500913	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500915	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90500919	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90500906	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500909	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500917	Cholesterol in Chylomicrons and Extremely Large VLDL	Lipoprotein subclasses	23484	23784	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497496	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	array	Discovery		Combined	European
GCST90497497	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	array	Discovery		Combined	British-African
GCST90497502	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	array	Discovery		Combined	British-Central/South Asian
GCST90497501	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	array	Discovery		Female	European
GCST90497495	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	array	Discovery		Male	European
GCST90497498	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497503	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497493	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497491	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497488	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497499	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501121	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	array	Meta-analysis		Combined	Combined
GCST90497490	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497494	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497504	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497489	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497500	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497492	Cholesterol in IDL	Lipoprotein subclasses	23526	23826	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497704	Cholesterol in Large HDL	Lipoprotein subclasses	23561	23861	array	Discovery		Combined	British-Central/South Asian
GCST90497705	Cholesterol in Large HDL	Lipoprotein subclasses	23561	23861	array	Discovery		Combined	British-African
GCST90497715	Cholesterol in Large HDL	Lipoprotein subclasses	23561	23861	array	Discovery		Combined	European
GCST90497709	Cholesterol in Large HDL	Lipoprotein subclasses	23561	23861	array	Discovery		Female	European
GCST90497719	Cholesterol in Large HDL	Lipoprotein subclasses	23561	23861	array	Discovery		Male	European
GCST90497703	Cholesterol in Large HDL	Lipoprotein subclasses	23561	23861	sequencing	Gene-burden	PGS adjusted	Combined	British-African
